lib total_size num_regions memsync_time rcuda_time local_time nvidia_time other_time
mrcuda 16777216 8 13.474000 10.180000 3.294000 3.179000 0.115000
mrcuda 16777216 8 12.610000 9.668000 2.942000 2.827000 0.115000
mrcuda 16777216 8 12.848000 9.793000 3.055000 2.942000 0.113000
mrcuda 16777216 8 12.443000 9.585000 2.858000 2.744000 0.114000
mrcuda 33554432 8 18.539000 12.614000 5.925000 5.581000 0.344000
mrcuda 33554432 8 18.760000 12.852000 5.908000 5.569000 0.339000
mrcuda 33554432 8 18.153000 12.416000 5.737000 5.599000 0.138000
mrcuda 33554432 8 19.318000 13.249000 6.069000 5.720000 0.349000
mrcuda 33554432 8 18.594000 12.738000 5.856000 5.504000 0.352000
mrcuda 33554432 8 18.865000 12.907000 5.958000 5.608000 0.350000
mrcuda 33554432 8 18.865000 12.814000 6.051000 5.900000 0.151000
mrcuda 33554432 8 18.611000 12.421000 6.190000 5.695000 0.495000
mrcuda 33554432 8 19.256000 13.146000 6.110000 5.778000 0.332000
mrcuda 33554432 8 19.323000 13.148000 6.175000 5.781000 0.394000
mrcuda 67108864 8 58.322000 38.833000 19.489000 18.133000 1.356000
mrcuda 67108864 8 44.110000 29.527000 14.583000 14.264000 0.319000
mrcuda 67108864 8 35.869000 23.367000 12.502000 12.074000 0.428000
mrcuda 67108864 8 44.917000 30.511000 14.406000 14.134000 0.272000
mrcuda 67108864 8 46.030000 31.506000 14.524000 13.702000 0.822000
mrcuda 67108864 8 44.963000 29.709000 15.254000 14.337000 0.917000
mrcuda 67108864 8 46.684000 31.347000 15.337000 14.986000 0.351000
mrcuda 67108864 8 56.441000 38.744000 17.697000 16.802000 0.895000
mrcuda 67108864 8 45.077000 30.200000 14.877000 13.967000 0.910000
mrcuda 67108864 8 44.377000 29.604000 14.773000 14.431000 0.342000
mrcuda 134217728 8 98.295000 64.618000 33.677000 31.507000 2.170000
mrcuda 134217728 8 97.050000 64.230000 32.820000 30.891000 1.929000
mrcuda 134217728 8 102.576000 66.962000 35.614000 34.848000 0.766000
